MEETING_ROOM,n
upper east exec aven,2
upper east executive,4
upper press,35
upper press 2nd floo,2
upper suit,2
upstairs w,2
usds room,1
usher offi,10
ushers,3
ushers of,78
ushers off,3
ushers office,92
ushers office pony s,12
ushers office reside,4
usss locat,2
usss pass,1
usss pass office,1
various,1
various locations,1
veranda,46
veranda pool deck ba,9
veranda pool deck fi,42
vernada,2
vice presi,4
visitors office,5
vp,1
vp's cerem,4
vp 286,10
vp ceremon,187
vp ceremonial,8
vp ceremonial office,30
vp office,30
vp office 1st floor,9
vp ww,1
vp ww offi,3
vp ww office,12
vpo,1
vpotus cer,32
vpotus off,1
vpotus ww,3
vpr,1243
vpr 1st floor,3
vpr 2nd floor,3
vpr 3rd floor,6
vpr driveway,5
vpr first floor,8
vpr lawn,465
vpr pool,249
vpr pool deck,30
vpr posts,20
vps ww off,6
w 216,10
w16,1
wa 132,1
walkthroug,4
ward,3
ward room,30
ward ww,10
water filt,1
we-res,9
we - res,1
west exec,59
west exec ave.,1
west exec drive,2
west execu,22
west executive,1
west executive avenu,1
west lobby,1
west wing,25578
west wing - nsc curt,1
west wing / south la,2
west wing 1-b upper,6
west wing 121,10
west wing and reside,45
west wing cabinet ro,4
west wing g57,1
west wing lobby,8
west wing lobby and,6
west wing lobby/cabi,1
west wing lobby/roos,6
west wing lower suit,3
west wing press offi,1
west wing suite,1
west wing tour,1
west wing whsr,1
west wing/res,1
west wing:,10
wh,2
wh 121,1
wh clinic,1
wh enter w,4
wh exec,1
wh holiday tour,3
wh medical,2
wh mess,21
wh mess/ww,1
wh res eas,1
wh res east room,2
wh res south lawn,9
wh state f,7
wh/ww,1
wh212,1
white hous,32
white house residenc,20
white house situatio,114
white house tour,2
whmo,2
whmo hq,1
whmo offic,3
whmo secur,8
whmo south,2
whmo/flotu,2
whmu,83
whmu-92,1
whmu - 97,1
whmu 97,49
whmu clini,3
whmu clinic,7
whmu clinics,8
whmu eeob,2
whmu residence clini,2
whmu rm 97,5
whmu room,3
whnl,21
whsr,1123
whsr- exec,3
whsr- jfk,4
whsr-jfk,1
whsr - jfk,2
whsr - wes,3
whsr & chief of staf,2
whsr breakout,2
whsr breakout room,1
whsr confe,1
whsr exec,161
whsr exec - ww,3
whsr jeh,1
whsr jfk,131
whsr jfk c,2
whsr jfk w,2
whsr jfk ww,4
whsr pending,1
whsr sms,1
whsr ww,75
whsr/ww,17
wsr exec,3
wt9,4
ww,839
ww- 132,2
ww- 225,1
ww- apnsa office,2
ww- apnsa suite,4
ww- navy m,1
ww- oval o,1
ww- roosev,2
ww- white,4
ww- whsr,1
ww-132,222
ww-133,2
ww-208,3
ww-210,6
ww-g48,1
ww-g74,13
ww-roosevelt room,6
ww-rr,1
ww-vpotus,1
ww-white h,2
ww-whsr,18
ww -- whsr,11
ww - 132,1
ww - 221,6
ww - 225,16
ww - apnsa,9
ww - cabin,18
ww - chief,1
ww - g74,5
ww - jfk,5
ww - lowersuite,3
ww - navy,1
ww - oval,24
ww - oval office,2
ww - room 144,1
ww - roose,11
ww - roosevelt room,26
ww - rr,1
ww - sit r,2
ww - sitro,3
ww - situa,2
ww - situation room,2
ww - upper press,3
ww - vp office,5
ww - vpo,1
ww - vps office,2
ww - ward room,2
ww - white,10
ww - whsr,62
ww -225,1
ww & resid,21
ww & rose,52
ww & south lawn,3
ww / navy mess,1
ww / state,6
ww 1-a,1
ww 1-c,10
ww 10 firs,1
ww 100,1
ww 101,2
ww 106,14
ww 108,10
ww 117,3
ww 120,35
ww 121,189
ww 122,776
ww 124,2
ww 124- co,1
ww 126,14
ww 130 b,1
ww 132,504
ww 132 a,28
ww 132 ee,1
ww 140,54
ww 141,7
