BDGNBR,n
198977,1
198978,1
198980,1
198981,1
198982,11
198984,6
198986,9
198987,12
198988,10
199010,1
199011,1
199018,8
199020,8
199022,3
199023,1
199025,3
199032,29
199077,6
199100,16
199123,7
199124,9
199125,7
199126,10
199132,9
199135,14
199140,25
199141,9
199176,30
199186,9
199187,8
199188,15
199189,4
199191,11
199235,3
199253,1
199254,1
199255,1
199259,3
199265,11
199266,10
199267,17
199268,8
199269,7
199270,7
199272,11
199275,14
199276,5
199277,4
199297,19
199298,1
199299,4
199301,9
199302,1
199303,12
199304,3
199305,8
199306,3
199314,14
199320,19
199321,1
199322,44
199323,45
199324,23
199325,44
199326,53
199327,43
199328,17
199329,47
199330,40
199331,16
199332,46
199333,29
199334,3
199335,47
199336,11
199337,34
199338,44
199339,25
199340,47
199341,23
199342,25
199343,45
199344,45
199345,42
199346,43
199347,35
199348,46
199349,48
199350,49
199351,8
199352,27
199353,47
199354,23
199355,8
199356,13
199357,48
199358,25
199359,22
199360,32
199361,1
199362,36
199363,2
199364,43
199365,46
199366,48
199367,46
199368,30
199369,24
199370,42
199371,50
199372,10
199373,23
199374,26
199375,20
199376,1
199377,27
199378,41
199379,20
199380,40
199381,18
199382,1
199383,13
199387,12
199388,1
199389,9
199390,3
199391,8
199392,12
199393,15
199394,15
199395,11
199396,11
199397,9
199398,19
199401,15
199402,2
199406,4
199410,5
199419,17
199420,16
199421,13
199422,5
199427,9
199428,3
199429,29
199430,2
199431,7
199433,1
199454,13
199455,1
199456,45
199457,20
199458,43
199459,15
199460,54
199461,22
199462,41
199463,35
199464,42
199465,18
199466,21
199467,44
199468,23
