"Description","Count"
"ew tour must enter through sherman park: clears",150
"ew tour must enter through sherman park/// 11/25/15 appointment canceled per collin burton",150
"event takes place in rose garden. rain site is east room",150
"vpotus/ag medal of valor ceremony",149
"strategy report release",149
"forum",149
"energy briefing",149
"driver",149
"west wing tour. please clear this group for 11 am 1 pm 3 pm 5pm and 7pm on 1/20. thank you",148
"usda regional conference",148
"photo op w/ potus",148
"national design awards lunch",148
"member tour**",148
"joining forces veterans day luncheon",148
"guests for nfl visit/photo",148
"citizens medal award",148
"the event is on the state floor. event name change per claudia mcnamaralawder",147
"starmx",147
"west wing tour**",146
"this is a lunch even tho the name is state dinner!",146
"merged w/u40401",146
"international lgbt human rights community reception",146
"group tour-changed from 2000 to 0800 hrs",146
"eeobneob1800g st/",146
"community college event with potus",146
"7am - group tours",146
"time change per r. ahmed",145
"startup america launch event",145
"same list as appointment 626179",145
"middle class task force event and briefing",145
"heath and safty event",145
"eer training #4",145
"eer training #3",145
"women in politics briefing",144
"time change made @ the request of v. woodberry",144
"senior staff dinner",144
"music group",144
"us senate youth program meet & greet photo op",143
"press appointment",143
"ppo appointees",143
"motown music event - student workshop",143
"latino leaders",143
"student workshop",142
"room change per alcamtara",142
"public health benefits of clean energy reform meeting",142
"group tours./tours",142
"event name: whip homecoming event",142
"clean energy economy forum",142
"briefing on the let's move initcitive",142
"south lawn series",141
"reception honoring the inaugural eunice kennedy schriver challenge",141
"reception for law enforcement officials and first responders",141
"military event",141
"heath care event in the east room. flotus will be there",141
"car rule/energy efficiency event",141
"basketball court",141
"time changed per the requestor",140
"small business briefing on regulatory reform",140
"senior staff holiday dinner",140
"military district of washington color team",140
"marine band for garden tours",140
"eeob trick or treat event list #2",140
"appt cancelled per desiree barnes",140
"university of delaware reception",139
"date/time changes made at the request of l. jayaratne",139
"9am - group",139
"military district of washington key personnel for the rehersal for the nordic state arrival ceremony",138
"manufacturing bill signing",138
"for lgbt tech & innovation briefing",138
"additional contact dilara uskup",138
"violence against women act 17th anniversary reception",137
"time changed per requestor dk 07/03/12 1133hrs",137
"students and teachers for the student workshop of the classical music event",137
"essential staff",137
"town hall",136
"supporting older americans",136
"requestor chg time on the appt mw",136
"national geographic reception with dr. biden",136
"meeting with staff members from ombs water and power branch",136
"leadership meeting",136
"large brieifng",136
"gift shop trip",136
"ew tour must enter through sherman park reclear",136
"reception in honor of the 2015 uso honorees",135
"congressional staff",135
"150 attendees anticipated. please clear for entrance no earlier than 1:00pm to control crowds",135
"military district of washington honor guard for canada state will be along north drive",134
"mess",134
"interfaith service",134
"hiv aids policy meeting",134
"group will move from sca to east room via north lawn",134
"group tour name flips",134
"governor's ball",134
"wh mess",133
"kitchen garden tour",133
"flotus will be in attendance/ avra siegel can add to this u# per pegram",133
"common cause event",133
"american land title association briefing",133
"air force band",133
"time and date change at the request of the requestor. kdc 9/13 @ 12:38",132
"ppo usda state director training",132
"nepa meeting",132
"marine one. entering through nw gate",132
"jewish outreach event",132
"historical black colleges event w/potus",132
"boys nation team photo op",132
"time change per f. de quesada",131
"room change made at the request of r. ahmed",131
"pcah meeting & awards group two",131
"girls nation softball team photo with potus",131
"combating religious discrimination",131
"breast cancer awareness month reception",131
"sihk reception about civil rights issuess",130
"per kyle date changed from 9/14 to 9/16",130
"jefferson awards",130
"bowling group",130
"time changed from 1130 to 1045 by alison",129
"nmsi reception",129
"board annoucement",129
"award ceremony",129
"asian american and pacific islander community leaders reception",129
"african and african american clergy briefing",129
"youth environment summit",128
"tennis series",128
"music of the civil rights student workshop",128
"mother's day tea",128
"military district of washington personnel supporting the nordic state dinner",128
"junior statesmen briefing",128
"group tour/ requestor & person to be visited changed by will jennings",128
