"APPT_END_DATE","Count"
"2015-07-02 23:59:00",3497
"2010-07-21 23:59:00",3496
"2009-12-14 12:30:00",3495
"2014-04-23 23:59:00",3494
"2011-07-07 23:59:00",3494
"2011-08-04 23:59:00",3490
"2010-08-25 23:59:00",3488
"2012-05-08 23:59:00",3487
"2014-11-18 23:59:00",3484
"2016-02-27 23:59:00",3483
"2014-02-22 23:59:00",3478
"2011-03-29 23:59:00",3478
"2016-07-26 23:59:00",3476
"2012-03-22 23:59:00",3470
"2010-10-19 23:59:00",3469
"2015-02-21 23:59:00",3465
"2016-03-22 23:59:00",3464
"2014-04-18 23:59:00",3461
"2011-06-21 23:59:00",3461
"2015-10-21 23:59:00",3457
"2012-07-19 23:59:00",3448
"2010-07-08 23:59:00",3446
"2011-08-03 23:59:00",3445
"2010-04-27 23:59:00",3445
"2014-05-13 23:59:00",3443
"2012-07-31 23:59:00",3442
"2011-10-01 23:59:00",3442
"2015-07-15 23:59:00",3440
"2011-03-05 23:59:00",3440
"2011-07-28 23:59:00",3435
"2012-05-16 23:59:00",3431
"2011-02-22 23:59:00",3431
"2016-08-25 23:59:00",3427
"2011-10-20 23:59:00",3427
"2016-05-11 23:59:00",3424
"2009-11-14 23:59:00",3423
"2011-10-18 23:59:00",3422
"2009-11-20 23:59:00",3422
"2012-07-18 23:59:00",3418
"2015-05-22 23:59:00",3416
"2015-05-12 23:59:00",3414
"2016-05-31 23:59:00",3412
"2010-02-27 23:59:00",3411
"2015-09-09 23:59:00",3408
"2010-11-23 23:59:00",3405
"2010-03-30 23:59:00",3402
"2015-07-29 23:59:00",3401
"2011-06-22 23:59:00",3401
"2011-11-01 23:59:00",3399
"2015-08-06 23:59:00",3397
"2010-10-01 23:59:00",3397
"2016-08-23 23:59:00",3395
"2016-05-19 23:59:00",3395
"2014-03-13 23:59:00",3394
"2009-10-07 23:59:00",3394
"2016-04-05 23:59:00",3390
"2012-09-19 23:59:00",3390
"2012-07-24 23:59:00",3389
"2015-03-31 23:59:00",3388
"2014-04-15 23:59:00",3382
"2015-08-05 23:59:00",3381
"2011-07-20 23:59:00",3370
"2011-11-18 23:59:00",3369
"2016-02-25 23:59:00",3368
"2011-05-18 23:59:00",3368
"2011-06-28 23:59:00",3367
"2009-10-22 23:59:00",3367
"2010-08-13 23:59:00",3364
"2015-03-06 23:59:00",3360
"2014-09-16 23:59:00",3360
"2014-03-11 23:59:00",3360
"2012-05-10 23:59:00",3358
"2014-09-13 23:59:00",3354
"2013-10-31 23:59:00",3352
"2012-11-13 23:59:00",3351
"2011-05-17 23:59:00",3346
"2012-06-12 23:59:00",3345
"2010-11-06 23:59:00",3345
"2014-11-01 23:59:00",3344
"2010-06-04 23:59:00",3340
"2011-11-05 23:59:00",3339
"2010-01-23 23:59:00",3338
"2014-08-30 23:59:00",3337
"2012-06-19 23:59:00",3336
"2014-06-10 23:59:00",3333
"2016-02-05 23:59:00",3332
"2015-05-07 23:59:00",3332
"2010-08-04 23:59:00",3332
"2010-07-01 23:59:00",3321
"2009-10-28 23:59:00",3321
"2011-11-04 23:59:00",3318
"2012-03-27 23:59:00",3317
"2010-11-19 23:59:00",3315
"2016-02-17 23:59:00",3314
"2010-11-09 23:59:00",3314
"2014-04-25 23:59:00",3311
"2012-04-18 23:59:00",3308
"2016-01-08 23:59:00",3307
