"APPT_CANCEL_DATE","Count"
"2009-11-18 17:25:00",5
"2009-11-03 14:26:00",5
"2009-10-15 14:52:00",5
"2009-10-07 18:19:00",5
"2009-10-05 17:34:00",5
"2009-09-28 17:53:00",5
"2009-09-24 18:59:00",5
"2009-09-20 17:02:00",5
"2016-09-14 17:50:00",4
"2016-09-08 14:24:00",4
"2016-08-26 16:48:00",4
"2016-08-09 07:34:00",4
"2016-06-03 11:08:00",4
"2016-03-30 19:07:00",4
"2016-02-24 10:02:00",4
"2015-12-19 17:47:00",4
"2015-09-18 16:54:00",4
"2015-09-01 13:07:00",4
"2015-08-28 19:44:00",4
"2015-07-13 13:41:00",4
"2015-07-01 11:50:00",4
"2015-05-21 13:44:00",4
"2015-04-24 11:50:00",4
"2015-04-07 15:08:00",4
"2015-04-01 14:09:00",4
"2015-04-01 14:06:00",4
"2015-04-01 14:05:00",4
"2015-04-01 14:04:00",4
"2015-04-01 13:59:00",4
"2015-04-01 13:58:00",4
"2015-03-03 14:10:00",4
"2015-02-19 13:20:00",4
"2015-02-19 13:17:00",4
"2015-02-19 13:16:00",4
"2015-02-19 13:06:00",4
"2015-02-19 13:05:00",4
"2015-02-19 13:03:00",4
"2015-02-18 14:25:00",4
"2015-02-11 12:10:00",4
"2015-02-06 09:08:00",4
"2015-01-21 12:44:00",4
"2014-12-22 11:19:00",4
"2014-12-19 09:08:00",4
"2014-12-16 12:05:00",4
"2014-12-16 12:04:00",4
"2014-12-10 13:22:00",4
"2014-12-08 09:13:00",4
"2014-12-04 11:31:00",4
"2014-11-25 14:54:00",4
"2014-11-25 14:53:00",4
"2014-11-21 17:41:00",4
"2014-11-20 11:09:00",4
"2014-11-18 10:09:00",4
"2014-11-07 12:59:00",4
"2014-10-31 16:50:00",4
"2014-10-30 16:58:00",4
"2014-09-25 14:02:00",4
"2014-09-19 11:03:00",4
"2014-08-15 16:14:00",4
"2014-07-16 12:03:00",4
"2014-07-16 11:57:00",4
"2014-07-16 11:56:00",4
"2014-06-06 15:05:00",4
"2014-06-06 15:04:00",4
"2014-05-30 17:58:00",4
"2014-05-30 17:57:00",4
"2014-05-30 17:55:00",4
"2014-05-30 14:32:00",4
"2014-05-16 10:57:00",4
"2014-05-15 06:08:00",4
"2014-05-15 06:07:00",4
