Event,n
U01968,2
U01969,4
U01970,5
U01971,1
U01972,10
U01974,5
U01975,3
U01976,1
U01977,4
U01978,3
U01979,3
U01980,4
U01981,3
U01982,6
U01983,7
U01984,4
U01985,11
U01986,3
U01987,1
U01988,2
U01989,2
U01990,6
U01991,1
U01992,1
U01993,1
U01994,1
U01995,7
U01996,5
U01997,191
U01998,3
U02000,194
U02001,137
U02002,66
U02003,42
U02005,4
U02006,44
U02009,2
U02010,23
U02011,1
U02012,99
U02013,2
U02014,1
U02015,1
U02016,1
U02017,1
U02018,3
U02019,106
U02020,41
U02021,234
U02022,42
U02024,47
U02025,28
U02026,38
U02028,48
U02029,5
U02031,2
U02034,87
U02036,44
U02037,6
U02038,6
U02039,17
U02040,1
U02041,1
U02044,1
U02045,1
U02046,12
U02047,9
U02048,13
U02049,1
U02050,2
U02051,50
U02052,44
U02053,49
U02054,1
U02055,4
U02056,11
U02058,1
U02060,3
U02061,6
U02062,4
U02063,1
U02064,1
U02065,2
U02066,287
U02067,151
U02068,14
U02069,8
U02070,5
U02071,2
U02072,1
U02073,2
U02074,1
U02075,1
U02076,5
U02077,5
U02078,8
U02079,2
U02080,15
U02081,2
U02082,1
U02083,1
U02084,4
U02085,5
U02086,2
U02087,1
U02088,2
U02089,16
U02090,7
U02092,36
U02093,1
U02094,216
U02095,1
U02096,22
U02098,49
U02099,155
U02100,101
U02101,3
U02103,9
U02104,5
U02105,4
U02106,18
U02107,7
U02108,26
U02109,39
U02110,1
U02112,5
U02113,2
U02114,2
U02115,5
U02116,2
U02117,1
U02118,5
U02119,2
U02120,4
U02121,1
U02122,1
U02123,25
U02124,39
U02125,39
U02126,39
U02127,4
U02129,2
U02132,1
U02133,1
U02134,1
U02135,1
U02136,1
U02137,1
U02138,2
U02139,1
U02140,1
U02141,3
U02142,1
U02143,1
U02144,2
U02145,1
U02146,1
U02147,1
U02148,1
U02149,2
U02150,1
U02151,1
U02152,1
U02153,2
U02154,1
U02155,1
U02156,1
U02157,1
U02158,1
U02159,206
U02160,71
U02161,1
U02162,1
U02163,2
U02164,322
U02165,1
U02166,1
U02167,1
U02168,1
U02169,1
U02170,1
U02171,1
U02172,5
U02174,1
U02175,1
U02176,4
U02177,2
U02178,1
U02179,1
U02180,1
U02181,1
U02182,1
U02183,1
U02184,1
U02186,1
U02187,1
U02188,1
U02189,1
U02190,1
U02191,1
U02192,1
U02193,1
U02194,1
U02195,1
U02196,1
U02197,1
U02198,1
U02199,1
U02200,1
U02201,1
U02202,1
U02203,1
U02204,1
U02205,1
U02206,1
U02207,1
U02208,1
U02209,1
U02210,1
U02211,1
U02212,1
U02213,1
U02214,2
U02215,3
U02216,1
U02217,1
U02218,1
U02219,1
U02220,1
U02221,1
U02222,1
U02223,1
U02224,1
U02225,1
